Temps (en s),Position (en mm),Force (en kN),Inclinaison (en °),Pressure (en bar),AIO1 (50mm) (en mm),AIO3 (Temp Ch) (en °C),AIO4 (100mm) (en mm),AIO5(50mm) (en mm),AIO6(100mm) (en mm),Angle (body) (en °),angle (riser) (en °),
0.2500,88.42,33.63,-3.185,93.8,-2.39,61.7,-5.99,-5.90,-10.66,-0.486,4.223,
0.2600,88.62,33.51,-3.252,92.9,-0.85,62.1,-3.28,-5.13,-9.12,-0.439,4.223,
0.2700,88.48,33.60,-3.183,93.0,-2.40,61.6,-5.98,-5.90,-10.66,-0.486,4.225,
0.2800,88.71,33.57,-3.254,93.5,-0.85,62.2,-3.28,-5.13,-9.13,-0.438,4.216,
0.2900,88.39,33.60,-3.183,92.9,-2.39,61.8,-5.94,-5.89,-10.65,-0.484,4.233,
0.3000,88.46,33.66,-3.254,93.5,-0.88,62.3,-3.33,-5.15,-9.16,-0.439,4.227,
0.3100,88.46,33.48,-3.186,92.8,-2.38,62.0,-5.93,-5.88,-10.64,-0.484,4.233,
0.3200,88.49,33.45,-3.253,93.3,-0.88,62.3,-3.33,-5.15,-9.17,-0.439,4.223,
0.3300,88.64,33.54,-3.180,93.0,-2.37,62.0,-5.94,-5.88,-10.63,-0.485,4.227,
0.3400,88.70,33.63,-3.251,92.5,-0.86,62.4,-3.32,-5.15,-9.16,-0.440,4.221,
0.3500,88.53,33.51,-3.178,93.3,-2.38,61.9,-5.92,-5.87,-10.62,-0.484,4.217,
0.3600,88.44,33.57,-3.257,93.0,-0.87,62.4,-3.34,-5.15,-9.18,-0.440,4.223,
0.3700,88.40,33.66,-3.181,93.1,-2.37,62.0,-5.91,-5.87,-10.62,-0.485,4.233,
0.3800,88.40,33.54,-3.257,92.9,-0.89,62.6,-3.35,-5.16,-9.19,-0.440,4.216,
0.3900,88.39,33.51,-3.180,93.4,-2.36,62.2,-5.89,-5.86,-10.59,-0.485,4.225,
0.4000,88.44,33.51,-3.259,92.5,-0.90,62.6,-3.39,-5.17,-9.20,-0.440,4.225,
0.4100,88.44,33.54,-3.177,93.0,-2.36,62.2,-5.88,-5.87,-10.61,-0.484,4.223,
0.4200,88.40,33.60,-3.260,92.8,-0.88,62.1,-3.37,-5.16,-9.20,-0.440,4.229,
0.4300,88.31,33.69,-3.178,93.7,-2.37,61.6,-5.90,-5.86,-10.59,-0.484,4.233,
0.4400,88.33,33.63,-3.260,93.4,-0.89,62.1,-3.38,-5.17,-9.21,-0.442,4.225,
0.4500,88.31,33.45,-3.178,92.9,-2.36,61.6,-5.88,-5.86,-10.58,-0.485,4.223,
0.4600,88.60,33.66,-3.259,93.1,-0.90,62.2,-3.41,-5.17,-9.22,-0.443,4.225,
0.4700,88.33,33.60,-3.178,93.2,-2.34,61.7,-5.87,-5.85,-10.56,-0.484,4.236,
0.4800,88.51,33.60,-3.260,93.2,-0.89,62.0,-3.40,-5.17,-9.21,-0.442,4.216,
0.4900,88.48,33.60,-3.178,92.8,-2.34,61.7,-5.83,-5.84,-10.54,-0.484,4.227,
0.5000,88.51,33.66,-3.267,92.7,-0.91,62.1,-3.44,-5.18,-9.23,-0.441,4.223,
0.5100,88.26,33.51,-3.177,93.0,-2.35,61.7,-5.85,-5.84,-10.56,-0.485,4.227,
0.5200,88.11,33.54,-3.267,92.9,-0.90,62.2,-3.42,-5.18,-9.24,-0.441,4.229,
0.5300,88.22,33.54,-3.170,93.1,-2.35,61.7,-5.85,-5.84,-10.55,-0.483,4.225,
0.5400,88.17,33.66,-3.266,92.8,-0.90,62.2,-3.42,-5.18,-9.23,-0.441,4.216,
0.5500,88.22,33.54,-3.180,93.2,-2.34,62.2,-5.85,-5.84,-10.55,-0.482,4.227,
0.5600,88.49,33.48,-3.277,93.1,-0.91,62.6,-3.45,-5.19,-9.24,-0.441,4.229,
0.5700,88.48,33.57,-3.175,93.6,-2.32,62.2,-5.82,-5.83,-10.53,-0.483,4.223,
0.5800,88.42,33.54,-3.272,93.0,-0.92,62.6,-3.46,-5.20,-9.26,-0.441,4.216,
0.5900,88.51,33.63,-3.173,92.1,-2.32,62.2,-5.80,-5.82,-10.53,-0.484,4.227,
0.6000,88.42,33.48,-3.271,93.3,-0.94,62.6,-3.47,-5.20,-9.28,-0.442,4.221,
0.6100,88.42,33.66,-3.173,93.2,-2.33,62.2,-5.80,-5.82,-10.52,-0.484,4.225,
0.6200,88.48,33.60,-3.270,93.4,-0.93,62.6,-3.47,-5.20,-9.27,-0.442,4.223,
0.6300,88.46,33.57,-3.174,93.0,-2.33,62.0,-5.81,-5.83,-10.53,-0.484,4.223,
0.6400,88.35,33.60,-3.265,93.2,-0.93,62.3,-3.49,-5.20,-9.27,-0.442,4.223,
0.6500,88.53,33.54,-3.167,93.0,-2.31,61.9,-5.79,-5.81,-10.51,-0.483,4.229,
0.6600,88.42,33.51,-3.272,93.2,-0.94,62.2,-3.49,-5.20,-9.27,-0.442,4.223,
0.6700,88.59,33.54,-3.174,93.1,-2.32,61.7,-5.78,-5.82,-10.50,-0.483,4.223,
0.6800,88.37,33.63,-3.272,92.4,-0.94,62.0,-3.49,-5.20,-9.29,-0.441,4.216,
0.6900,88.53,33.48,-3.172,93.0,-2.31,61.6,-5.73,-5.81,-10.49,-0.483,4.229,
0.7000,88.35,33.60,-3.277,93.1,-0.94,62.1,-3.53,-5.22,-9.31,-0.443,4.223,
0.7100,88.46,33.48,-3.163,92.7,-2.30,61.6,-5.74,-5.80,-10.47,-0.484,4.227,
0.7200,88.39,33.60,-3.272,93.5,-0.94,62.1,-3.51,-5.21,-9.29,-0.443,4.223,
0.7300,88.49,33.57,-3.166,92.7,-2.31,61.6,-5.77,-5.81,-10.49,-0.483,4.227,
0.7400,88.53,33.51,-3.276,93.1,-0.94,62.1,-3.51,-5.21,-9.30,-0.442,4.223,
0.7500,88.37,33.51,-3.167,92.9,-2.29,61.7,-5.76,-5.80,-10.48,-0.483,4.229,
0.7600,88.48,33.48,-3.278,92.7,-0.95,62.4,-3.54,-5.22,-9.32,-0.442,4.223,
0.7700,88.44,33.45,-3.165,93.2,-2.28,62.0,-5.74,-5.79,-10.46,-0.483,4.221,
0.7800,88.49,33.45,-3.277,93.0,-0.94,62.4,-3.56,-5.23,-9.33,-0.442,4.214,
0.7900,88.37,33.54,-3.160,93.4,-2.28,62.1,-5.67,-5.78,-10.43,-0.483,4.229,
0.8000,88.39,33.57,-3.279,93.5,-0.97,62.5,-3.61,-5.24,-9.37,-0.443,4.225,
0.8100,88.57,33.54,-3.171,92.6,-2.28,62.1,-5.68,-5.78,-10.43,-0.482,4.227,
0.8200,88.53,33.54,-3.281,93.4,-0.98,62.5,-3.59,-5.24,-9.36,-0.443,4.221,
0.8300,88.48,33.48,-3.160,93.2,-2.28,62.1,-5.69,-5.78,-10.44,-0.483,4.223,
0.8400,88.39,33.48,-3.280,93.1,-0.96,62.4,-3.58,-5.23,-9.35,-0.444,4.227,
0.8500,88.59,33.39,-3.159,93.3,-2.26,62.0,-5.69,-5.78,-10.42,-0.483,4.234,
0.8600,88.48,33.51,-3.274,93.1,-0.97,62.4,-3.59,-5.24,-9.35,-0.444,4.225,
0.8700,88.49,33.36,-3.160,93.7,-2.28,61.9,-5.68,-5.78,-10.42,-0.483,4.216,
0.8800,88.55,33.42,-3.285,92.5,-0.97,62.4,-3.59,-5.25,-9.37,-0.443,4.217,
0.8900,88.51,33.39,-3.169,92.6,-2.28,61.6,-5.68,-5.77,-10.42,-0.482,4.225,
0.9000,88.49,33.51,-3.283,92.8,-0.99,61.9,-3.61,-5.26,-9.39,-0.443,4.221,
0.9100,88.28,33.39,-3.158,92.7,-2.26,61.5,-5.66,-5.76,-10.39,-0.482,4.227,
0.9200,88.35,33.48,-3.283,93.2,-0.99,61.9,-3.63,-5.26,-9.39,-0.445,4.225,
0.9300,88.17,33.57,-3.158,93.0,-2.26,61.5,-5.64,-5.76,-10.39,-0.482,4.225,
0.9400,88.26,33.51,-3.289,93.0,-0.99,61.9,-3.64,-5.26,-9.40,-0.445,4.217,
0.9500,88.29,33.39,-3.164,93.1,-2.26,61.4,-5.63,-5.75,-10.38,-0.483,4.223,
0.9600,88.28,33.51,-3.286,93.1,-0.99,62.0,-3.64,-5.27,-9.41,-0.445,4.227,
0.9700,88.20,33.42,-3.159,93.2,-2.27,61.4,-5.62,-5.75,-10.38,-0.481,4.223,
0.9800,88.18,33.39,-3.288,92.8,-0.99,62.3,-3.66,-5.27,-9.42,-0.445,4.227,
0.9900,88.09,33.39,-3.161,93.2,-2.24,61.9,-5.59,-5.74,-10.34,-0.482,4.229,
1.0000,87.98,33.48,-3.280,92.8,-1.01,62.3,-3.68,-5.28,-9.44,-0.445,4.221,
1.0100,88.26,33.48,-3.160,92.9,-2.24,61.9,-5.54,-5.74,-10.36,-0.482,4.227,
1.0200,88.60,33.48,-3.293,93.0,-1.01,62.5,-3.70,-5.29,-9.45,-0.445,4.225,
1.0300,88.66,33.48,-3.162,92.9,-2.24,62.0,-5.58,-5.74,-10.34,-0.481,4.227,
1.0400,88.57,33.42,-3.296,93.1,-1.02,62.5,-3.72,-5.29,-9.47,-0.445,4.221,
1.0500,88.42,33.42,-3.166,93.0,-2.23,62.0,-5.55,-5.73,-10.33,-0.482,4.214,
1.0600,88.53,33.42,-3.292,92.8,-1.02,62.5,-3.71,-5.29,-9.47,-0.446,4.223,
1.0700,88.37,33.45,-3.156,93.2,-2.22,62.1,-5.55,-5.73,-10.32,-0.482,4.231,
1.0800,88.55,33.48,-3.289,92.8,-1.04,62.5,-3.75,-5.31,-9.49,-0.446,4.227,
1.0900,88.48,33.54,-3.159,93.2,-2.22,62.0,-5.54,-5.72,-10.31,-0.481,4.219,
1.1000,88.59,33.42,-3.292,93.4,-1.03,62.3,-3.73,-5.30,-9.47,-0.446,4.225,
1.1100,88.46,33.39,-3.157,92.2,-2.21,61.6,-5.53,-5.71,-10.30,-0.480,4.227,
1.1200,88.53,33.39,-3.294,93.1,-1.04,62.1,-3.73,-5.31,-9.49,-0.446,4.229,
1.1300,88.59,33.45,-3.157,93.2,-2.21,61.6,-5.51,-5.71,-10.30,-0.482,4.227,
1.1400,88.40,33.51,-3.300,92.8,-1.05,62.1,-3.78,-5.32,-9.51,-0.447,4.225,
1.1500,88.64,33.42,-3.162,93.4,-2.20,61.7,-5.49,-5.70,-10.27,-0.481,4.225,
1.1600,88.53,33.48,-3.297,93.0,-1.05,62.2,-3.79,-5.32,-9.51,-0.446,4.223,
1.1700,88.48,33.42,-3.156,93.0,-2.19,61.7,-5.47,-5.69,-10.27,-0.480,4.223,
1.1800,88.37,33.45,-3.297,93.1,-1.06,62.3,-3.81,-5.33,-9.54,-0.447,4.227,
1.1900,88.46,33.33,-3.159,92.9,-2.19,61.7,-5.45,-5.69,-10.26,-0.481,4.233,
1.2000,88.37,33.42,-3.300,93.5,-1.07,62.2,-3.82,-5.33,-9.55,-0.448,4.225,
1.2100,88.40,33.33,-3.151,92.1,-2.18,61.7,-5.45,-5.68,-10.24,-0.480,4.234,
1.2200,88.40,33.33,-3.301,93.2,-1.08,62.2,-3.83,-5.34,-9.57,-0.447,4.225,
1.2300,88.55,33.45,-3.158,93.0,-2.17,61.9,-5.42,-5.68,-10.24,-0.480,4.225,
1.2400,88.53,33.42,-3.300,93.2,-1.08,62.6,-3.86,-5.35,-9.58,-0.447,4.225,
1.2500,88.57,33.54,-3.152,92.7,-2.16,62.2,-5.40,-5.67,-10.22,-0.481,4.223,
1.2600,88.46,33.36,-3.306,93.6,-1.08,62.8,-3.87,-5.35,-9.58,-0.448,4.227,
1.2700,88.46,33.54,-3.153,92.7,-2.17,61.9,-5.41,-5.67,-10.22,-0.481,4.225,
1.2800,88.49,33.42,-3.303,93.4,-1.09,62.1,-3.88,-5.35,-9.59,-0.448,4.227,
1.2900,88.51,33.48,-3.153,93.0,-2.15,61.6,-5.37,-5.66,-10.20,-0.480,4.233,
1.3000,88.57,33.45,-3.304,92.9,-1.10,62.1,-3.89,-5.36,-9.60,-0.448,4.227,
1.3100,88.48,33.33,-3.152,93.7,-2.14,61.6,-5.37,-5.66,-10.20,-0.481,4.231,
1.3200,88.39,33.48,-3.309,93.0,-1.11,62.1,-3.92,-5.37,-9.63,-0.449,4.221,
1.3300,88.39,33.54,-3.152,92.8,-2.13,61.6,-5.35,-5.65,-10.18,-0.481,4.227,
1.3400,88.51,33.42,-3.311,93.0,-1.11,62.1,-3.91,-5.36,-9.61,-0.449,4.231,
1.3500,88.48,33.51,-3.150,93.2,-2.14,61.6,-5.36,-5.65,-10.19,-0.480,4.223,
1.3600,88.42,33.48,-3.310,93.2,-1.10,62.3,-3.92,-5.37,-9.62,-0.448,4.229,
1.3700,88.39,33.45,-3.151,92.7,-2.14,61.7,-5.34,-5.65,-10.17,-0.481,4.231,
1.3800,88.42,33.54,-3.318,93.4,-1.13,62.2,-3.94,-5.38,-9.63,-0.449,4.223,
1.3900,88.35,33.45,-3.150,92.9,-2.12,61.8,-5.33,-5.64,-10.17,-0.482,4.231,
1.4000,88.29,33.42,-3.305,92.8,-1.13,62.2,-3.96,-5.39,-9.64,-0.450,4.227,
1.4100,88.28,33.36,-3.154,93.1,-2.11,61.7,-5.30,-5.64,-10.13,-0.482,4.227,
1.4200,88.33,33.45,-3.315,93.1,-1.14,62.2,-3.99,-5.39,-9.68,-0.449,4.223,
1.4300,88.24,33.39,-3.152,93.0,-2.10,61.8,-5.28,-5.62,-10.13,-0.479,4.217,
1.4400,88.29,33.51,-3.313,93.3,-1.13,62.3,-3.97,-5.38,-9.66,-0.449,4.231,
1.4500,88.15,33.48,-3.145,93.2,-2.10,62.0,-5.29,-5.63,-10.13,-0.480,4.227,
1.4600,88.11,33.29,-3.311,93.0,-1.15,62.5,-4.01,-5.40,-9.68,-0.450,4.221,
1.4700,88.28,33.45,-3.140,92.5,-2.09,62.0,-5.26,-5.62,-10.11,-0.479,4.233,
1.4800,88.42,33.48,-3.315,92.8,-1.16,62.5,-4.01,-5.40,-9.68,-0.450,4.221,
1.4900,88.64,33.39,-3.151,93.2,-2.09,61.8,-5.24,-5.61,-10.11,-0.478,4.219,
1.5000,88.55,33.42,-3.314,92.9,-1.18,62.2,-4.06,-5.42,-9.72,-0.450,4.225,
1.5100,88.60,33.42,-3.148,93.5,-2.08,61.8,-5.22,-5.60,-10.09,-0.479,4.223,
1.5200,88.59,33.42,-3.319,93.0,-1.18,62.2,-4.08,-5.42,-9.73,-0.451,4.227,
1.5300,88.44,33.36,-3.144,93.2,-2.05,61.8,-5.20,-5.60,-10.07,-0.478,4.234,
1.5400,88.31,33.33,-3.318,92.7,-1.18,62.2,-4.06,-5.42,-9.72,-0.450,4.227,
1.5500,88.64,33.48,-3.145,93.2,-2.07,61.7,-5.18,-5.59,-10.07,-0.478,4.216,
1.5600,88.55,33.33,-3.319,92.9,-1.18,62.2,-4.08,-5.43,-9.74,-0.450,4.227,
1.5700,88.49,33.39,-3.153,92.7,-2.06,61.7,-5.15,-5.59,-10.06,-0.479,4.225,
1.5800,88.62,33.42,-3.319,92.7,-1.20,62.0,-4.10,-5.43,-9.74,-0.451,4.225,
1.5900,88.33,33.36,-3.144,93.3,-2.04,61.4,-5.14,-5.57,-10.02,-0.478,4.216,
1.6000,88.40,33.36,-3.316,93.4,-1.20,61.9,-4.12,-5.43,-9.76,-0.451,4.227,
1.6100,88.46,33.36,-3.138,93.0,-2.03,61.5,-5.14,-5.57,-10.02,-0.478,4.229,
1.6200,88.35,33.42,-3.317,93.3,-1.21,62.5,-4.13,-5.44,-9.78,-0.451,4.221,
1.6300,88.48,33.42,-3.147,92.3,-2.04,62.0,-5.14,-5.57,-10.01,-0.478,4.234,
1.6400,88.59,33.51,-3.320,92.4,-1.21,62.5,-4.14,-5.45,-9.79,-0.451,4.223,
1.6500,88.40,33.45,-3.150,92.7,-2.03,62.0,-5.12,-5.56,-10.00,-0.478,4.221,
1.6600,88.44,33.39,-3.314,93.3,-1.23,62.5,-4.17,-5.46,-9.81,-0.451,4.223,
1.6700,88.42,33.29,-3.138,93.3,-2.02,62.0,-5.09,-5.56,-10.00,-0.478,4.221,
1.6800,88.46,33.51,-3.319,93.2,-1.23,62.6,-4.18,-5.47,-9.81,-0.452,4.219,
1.6900,88.53,33.39,-3.138,93.2,-2.01,62.0,-5.08,-5.55,-9.99,-0.477,4.219,
1.7000,88.55,33.51,-3.314,92.9,-1.24,62.4,-4.19,-5.47,-9.81,-0.451,4.221,
1.7100,88.66,33.51,-3.142,92.8,-2.01,61.9,-5.05,-5.55,-9.97,-0.478,4.227,
1.7200,88.49,33.51,-3.324,93.2,-1.25,62.4,-4.21,-5.47,-9.83,-0.453,4.229,
1.7300,88.51,33.51,-3.138,93.5,-2.00,61.9,-5.04,-5.55,-9.97,-0.478,4.225,
1.7400,88.57,33.48,-3.322,92.9,-1.25,62.3,-4.23,-5.48,-9.85,-0.452,4.221,
1.7500,88.44,33.42,-3.146,92.9,-1.97,61.6,-5.03,-5.54,-9.95,-0.478,4.229,
1.7600,88.51,33.42,-3.330,93.1,-1.27,61.9,-4.27,-5.49,-9.86,-0.452,4.221,
1.7700,88.40,33.33,-3.138,92.9,-1.98,61.4,-5.01,-5.53,-9.95,-0.476,4.233,
1.7800,88.40,33.45,-3.329,93.2,-1.28,61.9,-4.25,-5.50,-9.88,-0.453,4.225,
1.7900,88.28,33.39,-3.145,93.1,-1.97,61.4,-4.99,-5.53,-9.93,-0.476,4.217,
1.8000,88.37,33.39,-3.324,93.2,-1.29,61.9,-4.29,-5.50,-9.90,-0.453,4.223,
1.8100,88.24,33.51,-3.139,92.6,-1.96,61.4,-4.97,-5.52,-9.90,-0.477,4.225,
1.8200,88.40,33.45,-3.323,93.2,-1.28,62.0,-4.31,-5.52,-9.90,-0.454,4.229,
1.8300,88.22,33.36,-3.139,93.2,-1.95,61.6,-4.96,-5.51,-9.90,-0.475,4.225,
1.8400,88.28,33.42,-3.327,93.3,-1.30,62.3,-4.31,-5.51,-9.91,-0.453,4.231,
1.8500,88.29,33.45,-3.137,92.7,-1.95,61.9,-4.94,-5.51,-9.89,-0.476,4.225,
1.8600,88.24,33.45,-3.330,93.6,-1.30,62.4,-4.34,-5.52,-9.92,-0.453,4.223,
1.8700,88.28,33.51,-3.137,93.3,-1.94,62.0,-4.92,-5.50,-9.88,-0.476,4.225,
1.8800,88.26,33.42,-3.330,93.1,-1.31,62.5,-4.36,-5.53,-9.93,-0.454,4.217,
1.8900,88.06,33.42,-3.138,93.3,-1.93,62.1,-4.91,-5.50,-9.87,-0.476,4.219,
1.9000,88.26,33.45,-3.332,92.8,-1.32,62.5,-4.36,-5.53,-9.95,-0.453,4.227,
1.9100,88.09,33.51,-3.129,93.3,-1.93,62.0,-4.90,-5.50,-9.87,-0.476,4.221,
1.9200,88.18,33.45,-3.331,92.7,-1.33,62.5,-4.37,-5.53,-9.94,-0.454,4.221,
1.9300,88.46,33.39,-3.139,92.7,-1.92,62.0,-4.91,-5.49,-9.86,-0.476,4.229,
1.9400,88.48,33.39,-3.334,93.2,-1.34,62.4,-4.41,-5.54,-9.97,-0.454,4.225,
1.9500,88.51,33.48,-3.141,93.1,-1.91,62.0,-4.87,-5.48,-9.84,-0.475,4.217,
1.9600,88.71,33.69,-3.330,93.1,-1.34,62.1,-4.41,-5.54,-9.97,-0.454,4.223,
1.9700,88.53,33.54,-3.133,92.5,-1.90,61.7,-4.86,-5.47,-9.82,-0.475,4.234,
1.9800,88.49,33.60,-3.338,93.4,-1.35,62.0,-4.43,-5.55,-9.98,-0.454,4.223,
1.9900,88.57,33.51,-3.134,93.0,-1.90,61.6,-4.84,-5.47,-9.82,-0.476,4.233,
2.0000,88.46,33.57,-3.331,93.1,-1.36,62.1,-4.42,-5.56,-9.99,-0.455,4.227,
2.0100,88.51,33.57,-3.135,92.7,-1.89,61.8,-4.82,-5.47,-9.81,-0.475,4.227,
2.0200,88.51,33.57,-3.328,93.3,-1.36,62.2,-4.44,-5.56,-10.00,-0.454,4.223,
2.0300,88.46,33.48,-3.132,92.9,-1.88,61.8,-4.81,-5.47,-9.80,-0.475,4.217,
2.0400,88.59,33.63,-3.331,93.2,-1.37,62.2,-4.46,-5.56,-10.01,-0.454,4.225,
2.0500,88.60,33.48,-3.125,93.0,-1.87,61.8,-4.80,-5.46,-9.79,-0.475,4.236,
2.0600,88.42,33.63,-3.337,93.2,-1.37,62.2,-4.47,-5.56,-10.00,-0.455,4.219,
2.0700,88.37,33.57,-3.124,93.3,-1.87,61.8,-4.78,-5.46,-9.78,-0.475,4.219,
2.0800,88.46,33.66,-3.340,92.4,-1.38,62.2,-4.47,-5.57,-10.02,-0.455,4.223,
2.0900,88.39,33.63,-3.131,93.2,-1.86,62.1,-4.78,-5.45,-9.78,-0.475,4.229,
2.1000,88.55,33.72,-3.331,93.4,-1.39,62.6,-4.51,-5.58,-10.04,-0.454,4.223,
2.1100,88.64,33.72,-3.131,92.7,-1.85,62.2,-4.75,-5.44,-9.76,-0.474,4.221,
2.1200,88.44,33.66,-3.333,92.5,-1.39,62.6,-4.53,-5.58,-10.05,-0.455,4.225,
2.1300,88.49,33.60,-3.129,93.3,-1.84,62.0,-4.75,-5.45,-9.76,-0.475,4.231,
2.1400,88.48,33.63,-3.336,92.8,-1.40,62.2,-4.52,-5.59,-10.05,-0.455,4.234,
2.1500,88.48,33.54,-3.124,93.4,-1.85,61.8,-4.73,-5.43,-9.74,-0.475,4.229,
2.1600,88.48,33.72,-3.335,92.8,-1.41,62.2,-4.54,-5.59,-10.06,-0.456,4.223,
2.1700,88.64,33.72,-3.128,92.9,-1.84,61.8,-4.69,-5.43,-9.74,-0.474,4.223,
2.1800,88.53,33.78,-3.338,92.9,-1.41,62.2,-4.56,-5.59,-10.07,-0.455,4.225,
2.1900,88.48,33.57,-3.130,92.9,-1.83,61.8,-4.70,-5.42,-9.72,-0.474,4.223,
2.2000,88.42,33.78,-3.337,93.0,-1.42,62.1,-4.57,-5.60,-10.09,-0.456,4.227,
2.2100,88.51,33.72,-3.123,93.1,-1.82,61.8,-4.69,-5.42,-9.72,-0.474,4.221,
2.2200,88.28,33.69,-3.338,92.9,-1.42,62.1,-4.59,-5.60,-10.09,-0.457,4.231,
2.2300,88.40,33.66,-3.132,93.0,-1.82,61.6,-4.67,-5.41,-9.70,-0.474,4.219,
2.2400,88.48,33.66,-3.343,93.3,-1.43,62.1,-4.59,-5.60,-10.09,-0.455,4.221,
2.2500,88.46,33.72,-3.127,93.4,-1.81,61.6,-4.64,-5.40,-9.68,-0.473,4.234,
2.2600,88.49,33.69,-3.341,93.2,-1.44,62.1,-4.62,-5.62,-10.12,-0.458,4.221,
2.2700,88.35,33.75,-3.126,92.7,-1.81,61.6,-4.64,-5.40,-9.66,-0.474,4.221,
2.2800,88.33,33.72,-3.344,93.2,-1.45,62.1,-4.65,-5.63,-10.15,-0.458,4.227,
2.2900,88.35,33.75,-3.117,92.9,-1.79,61.6,-4.62,-5.39,-9.66,-0.474,4.221,
2.3000,88.44,33.72,-3.341,93.4,-1.46,62.4,-4.65,-5.62,-10.14,-0.458,4.221,
2.3100,88.44,33.78,-3.125,92.6,-1.81,62.0,-4.63,-5.39,-9.66,-0.472,4.233,
2.3200,88.42,33.81,-3.343,93.5,-1.47,62.5,-4.66,-5.63,-10.15,-0.459,4.225,
2.3300,88.28,33.69,-3.126,92.8,-1.78,62.0,-4.59,-5.38,-9.64,-0.473,4.229,
2.3400,88.17,33.72,-3.346,93.4,-1.47,62.5,-4.68,-5.64,-10.17,-0.458,4.229,
2.3500,88.13,33.81,-3.131,92.9,-1.76,61.9,-4.55,-5.37,-9.61,-0.473,4.227,
2.3600,87.98,33.75,-3.352,92.9,-1.48,62.3,-4.71,-5.65,-10.18,-0.458,4.221,
2.3700,88.11,33.72,-3.125,93.1,-1.76,61.9,-4.53,-5.36,-9.60,-0.472,4.229,
2.3800,88.13,33.75,-3.345,93.4,-1.48,62.5,-4.72,-5.66,-10.19,-0.458,4.227,
2.3900,88.48,33.81,-3.128,92.8,-1.76,61.9,-4.55,-5.36,-9.61,-0.472,4.231,
2.4000,88.28,33.84,-3.354,93.3,-1.49,62.4,-4.72,-5.65,-10.19,-0.458,4.217,
2.4100,88.49,33.78,-3.126,92.8,-1.75,61.9,-4.53,-5.36,-9.58,-0.472,4.236,
2.4200,88.29,33.72,-3.349,93.6,-1.50,62.4,-4.72,-5.66,-10.21,-0.459,4.227,
2.4300,88.40,33.72,-3.119,93.2,-1.73,61.7,-4.50,-5.35,-9.57,-0.472,4.223,
2.4400,88.49,33.69,-3.346,92.5,-1.53,61.9,-4.79,-5.68,-10.24,-0.458,4.225,
